seqid,Gene,Target,Target_description,nr_pathways
14615_46_3,KRTAP2-4,KRA24,Keratin-associated protein 2-4,0
14616_16_3,ZNF382,ZN382,Zinc finger protein 382,0
14618_26_3,VOPP1,ECOP,"Vesicular, overexpressed in cancer, prosurvival protein 1",0
14633_26_3,TMEM185A,T185A,Transmembrane protein 185A,0
14645_253_3,GSTA4,GSTA4,Glutathione S-transferase A4,1
14662_6_3,MZF1,MZF1,Myeloid zinc finger 1,0
14704_10_3,DDR1,discoidin domain receptor 1,Epithelial discoidin domain-containing receptor 1,2
14708_59_3,C8G,CO8G,Complement component C8 gamma chain,3
14747_9_3,CRLF1,CRLF1,Cytokine receptor-like factor 1,0
14755_4_3,LTF,Lactoferrin,Lactotransferrin,3
2192_63_10,CCL27,CTACK,C-C motif chemokine 27,3
2201_17_6,COL18A1,Endostatin,Endostatin,11
2212_69_1,PLAT,tPA,Tissue-type plasminogen activator,3
2247_20_11,PROK1,EG-VEGF,Prokineticin-1,18
2333_72_1,TGFB1,TGF-b1,Transforming growth factor beta-1,55
2381_52_4,C5,C5,Complement C5,10
2418_55_9,APOE,Apo E,Apolipoprotein E,9
2421_7_3,BDNF,BDNF,Brain-derived neurotrophic factor,8
2429_27_4,C8A C8B C8G,C8,Complement component C8,2
2436_49_4,CXCL16,"CXCL16, soluble",C-X-C motif chemokine 16,3
2443_10_4,FGF8,FGF-8B,Fibroblast growth factor 8 isoform B,13
2455_17_4,IL12A IL12B,IL-12,Interleukin-12,41
2475_1_3,KIT,SCF sR,Mast/stem cell growth factor receptor Kit,7
2505_49_3,GFRA3,GFRa-3,GDNF family receptor alpha-3,1
2516_57_3,CCL21,6Ckine,C-C motif chemokine 21,4
2523_31_3,CCL5,RANTES,C-C motif chemokine 5,19
2524_56_3,HMGB1,HMG-1,High mobility group protein B1,11
2575_5_5,LEP,Leptin,Leptin,26
2578_67_2,CCL2,MCP-1,C-C motif chemokine 2,28
2579_17_5,MMP9,MMP-9,Matrix metalloproteinase-9,36
2598_9_3,TNFRSF9,4-1BB,Tumor necrosis factor receptor superfamily member 9,2
2602_2_2,ANGPT2,Angiopoietin-2,Angiopoietin-2,1
2607_54_2,CRLF1 CLCF1,CLF-1/CLC Complex,Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex,24
2614_28_2,EFNA4,Ephrin-A4,Ephrin-A4,2
2616_23_18,ERBB2,ERBB2,Receptor tyrosine-protein kinase erbB-2,9
2630_12_2,IL1RAP,IL-1 R AcP,Interleukin-1 Receptor accessory protein,19
2632_5_2,IL12RB1,IL-12 Rb1,Interleukin-12 receptor subunit beta-1,10
2634_2_2,IL2RG,IL-2 sRg,Cytokine receptor common subunit gamma,10
2635_61_2,LAYN,Layilin,Layilin,0
2640_3_2,MST1R,MSP R,Macrophage-stimulating protein receptor,6
2643_57_2,CDH3,P-Cadherin,Cadherin-3,1
2645_54_1,PRKCZ,PKC-Z,Protein kinase C zeta type,20
2649_77_2,ICAM3,sICAM-3,Intercellular adhesion molecule 3,3
2652_15_1,PLAUR,suPAR,Urokinase plasminogen activator surface receptor,3
2654_19_1,TNFRSF1A,TNF sR-I,Tumor necrosis factor receptor superfamily member 1A,35
2666_53_2,DCN,Bone proteoglycan II,Decorin,1
2670_67_4,CKM,CK-MM,Creatine kinase M-type,0
2677_1_1,EGFR,ERBB1,Epidermal growth factor receptor,18
2681_23_2,HGF,HGF,Hepatocyte growth factor,12
2686_67_2,IGFBP6,IGFBP-6,Insulin-like growth factor-binding protein 6,2
2687_2_1,MIA,MIA,Melanoma-derived growth regulatory protein,0
2705_5_2,CCL25,TECK,C-C motif chemokine 25,3
2719_3_4,CSF3R,G-CSF-R,Granulocyte colony-stimulating factor receptor,1
2732_58_3,NANOG,NANOG,Homeobox protein NANOG,5
2737_22_2,NOV,NovH,Protein NOV homolog,0
2741_22_2,SIGLEC6,Siglec-6,Sialic acid-binding Ig-like lectin 6,0
2743_5_2,SHH,Sonic Hedgehog,Sonic hedgehog protein,4
2747_3_2,ULBP3,ULBP-3,NKG2D ligand 3,2
2748_3_2,INHBA,Activin A,Inhibin beta A chain,3
2762_30_2,FGF19,FGF-19,Fibroblast growth factor 19,12
2763_66_2,FGF20,FGF-20,Fibroblast growth factor 20,11
2765_4_3,GDF11 MSTN,GDF-11/8,Growth/differentiation factor 11/8,1
2768_56_2,HPX,Hemopexin,Hemopexin,2
2788_55_1,MMP3,MMP-3,Stromelysin-1,25
2789_26_2,MMP7,MMP-7,Matrilysin,18
2796_62_2,FGA FGB FGG,Fibrinogen,Fibrinogen,13
2805_6_2,ACE2,ACE2,Angiotensin-converting enzyme 2,3
2809_25_2,ADAMTS4,ADAMTS-4,A disintegrin and metalloproteinase with thrombospondin motifs 4,5
2816_50_2,BCAM,BCAM,Basal Cell Adhesion Molecule,0
2826_53_2,EDA,EDA,"Ectodysplasin-A, secreted form",24
2828_82_2,SPINT1,HAI-1,Kunitz-type protease inhibitor 1,0
2831_29_1,KLK11,Kallikrein 11,Kallikrein-11,3
2833_20_1,KLK4,Kallikrein 4,Kallikrein-4,3
2834_54_1,KLK8,kallikrein 8,Kallikrein-8,3
2835_1_4,XRCC6,Ku70,X-ray repair cross-complementing protein 6,2
2838_53_1,MMP17,MMP-17,Matrix metalloproteinase-17,15
2843_13_2,SPINT2,SPINT2,Kunitz-type protease inhibitor 2,0
2853_68_2,CHEK1,CHK1,Serine/threonine-protein kinase Chk1,1
2857_70_2,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor,3
2870_29_2,RAC1,RAC1,Ras-related C3 botulinum toxin substrate 1,30
2891_1_3,CD22,CD22,B-cell receptor CD22,0
2900_53_3,CCL14,HCC-1,C-C motif chemokine 14,3
2906_55_3,IL4,IL-4,Interleukin-4,42
2913_1_2,CCL23,MPIF-1,C-C motif chemokine 23,3
2939_10_2,ARTN,Artemin,Artemin,1
2944_66_2,NBL1,DAN,Neuroblastoma suppressor of tumorigenicity 1,0
2945_25_1,ESR1,ER,Estrogen receptor,3
2948_58_2,GHR,Growth hormone receptor,Growth hormone receptor,5
2968_61_1,TNFSF15,TNFSF15,Tumor necrosis factor ligand superfamily member 15,25
2975_19_2,CTGF,CTGF,Connective tissue growth factor,0
2977_7_2,EDAR,EDAR,Tumor necrosis factor receptor superfamily member EDAR,1
2982_82_2,LGALS4,Galectin-4,Galectin-4,0
2986_49_2,CXCL3 CXCL2,Gro-b/g,Gro-beta/gamma,8
2988_57_2,ICOS,ICOS,Inducible T-cell costimulator,4
2989_17_2,IFNG,IFN-g,Interferon gamma,51
2991_9_2,IL1R1,IL-1 sRI,Interleukin-1 receptor type 1,25
2994_71_2,IL1RL2,IL-1Rrp2,Interleukin-1 receptor-like 2,20
3003_29_2,NCR3,NKp30,Natural cytotoxicity triggering receptor 3,3
3007_7_2,SIGLEC9,Siglec-9,Sialic acid-binding Ig-like lectin 9,2
3032_11_2,CGA FSHB,FSH,Follicle stimulating hormone,0
3038_9_2,CXCL11,I-TAC,C-X-C motif chemokine 11,4
3041_55_2,MRC2,MRC2,C-type mannose receptor 2,0
3044_3_2,CCL18,PARC,C-C motif chemokine 18,3
3067_67_1,GDF9,GDF-9,Growth/differentiation factor 9,0
3073_51_2,IL18BP,IL-18 BPa,Interleukin-18-binding protein,0
3081_70_2,ULBP1,ULBP-1,NKG2D ligand 1,2
3083_71_1,EDA2R,XEDAR,Tumor necrosis factor receptor superfamily member 27,1
3152_57_1,TNFRSF1B,TNF sR-II,Tumor necrosis factor receptor superfamily member 1B,33
3172_28_2,ARSB,ARSB,Arylsulfatase B,1
3179_51_2,CTSA,Cathepsin A,Lysosomal protective protein,3
3182_38_2,ENTPD1,CD39,Ectonucleoside triphosphate diphosphohydrolase 1,1
3184_25_2,F7,Coagulation Factor VII,Coagulation factor VII,4
3187_52_2,CRISP3,CRIS3,Cysteine-rich secretory protein 3,1
3198_4_1,IDS,IDS,Iduronate 2-sulfatase,0
3202_28_2,KREMEN2,KREM2,Kremen protein 2,0
3206_4_2,LYVE1,LYVE1,Lymphatic vessel endothelial hyaluronic acid receptor 1,0
3208_2_4,MATN3,MATN3,Matrilin-3,3
3210_1_2,METAP1,METAP1,Methionine aminopeptidase 1,0
3216_2_2,PIGR,PIGR,Polymeric immunoglobulin receptor,1
3232_28_2,ACP5,TrATPase,Tartrate-resistant acid phosphatase type 5,2
3281_19_1,ANGPTL3,ANGL3,Angiopoietin-related protein 3,0
3290_50_2,CD109,CD109,CD109 antigen,0
3311_27_1,FCGR3B,FCG3B,Low affinity immunoglobulin gamma Fc region receptor III-B,7
3313_21_2,FCN2,FCN2,Ficolin-2,0
3317_33_1,HTRA2,HTRA2,"Serine protease HTRA2, mitochondrial",0
3321_2_2,IL24,IL24,Interleukin-24,5
3327_27_1,NTN4,NET4,Netrin-4,1
3342_76_4,ABL2,ABL2,Abelson tyrosine-protein kinase 2,3
3344_60_4,SERPINC1,Antithrombin III,Antithrombin-III,6
3347_9_2,ADRBK1,BARK1,beta-adrenergic receptor kinase 1,0
3348_49_2,BMP1,BMP-1,Bone morphogenetic protein 1,6
3351_1_1,CAMK2B,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta,8
3363_31_4,CSK,CSK,Tyrosine-protein kinase CSK,6
3364_76_2,CTSV,Cathepsin V,Cathepsin L2,2
3373_5_2,GZMH,Granzyme H,Granzyme H,3
3374_49_2,HCK,HCK,Tyrosine-protein kinase HCK,11
3388_58_2,PAK7,PAK7,Serine/threonine-protein kinase PAK 7,0
3389_7_2,SERPINA5,PCI,Plasma serine protease inhibitor,3
3396_54_2,REN,Renin,Renin,1
3399_31_2,STAB2,STAB2,Stabilin-2,0
3400_49_2,TBK1,TBK1,Serine/threonine-protein kinase TBK1,6
3403_1_2,TPSB2,TPSB2,Tryptase beta-2,4
3405_6_2,UFC1,UFC1,Ubiquitin-fold modifier-conjugating enzyme 1,0
3416_2_2,BTK,BTK,Tyrosine-protein kinase BTK,3
3419_49_2,CAMK2D,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta,8
3420_21_2,CA13,Carbonic anhydrase XIII,Carbonic anhydrase 13,0
3421_54_2,TNFSF8,CD30 Ligand,Tumor necrosis factor ligand superfamily member 8,25
3422_4_2,CDC2 CCNB1,CDK1/cyclin B,Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex,0
3423_59_2,CMA1,Chymase,Chymase,6
3431_54_2,EPHA1,EphA1,Ephrin type-A receptor 1,4
3437_80_3,FLT3,Flt-3,Receptor-type tyrosine-protein kinase FLT3,4
3438_10_2,FSTL3,FSTL3,Follistatin-related protein 3,3
3443_61_2,HIPK3,HIPK3,Homeodomain-interacting protein kinase 3,0
3445_53_2,IL15RA,IL-15 Ra,Interleukin-15 receptor subunit alpha,5
3446_7_2,IL18R1,IL-18 Ra,Interleukin-18 receptor 1,11
3447_64_2,CXCL8,IL-8,Interleukin-8,45
3449_58_2,SERPINA4,Kallistatin,Kallistatin,1
3450_4_2,KLK6,Kallikrein 6,Kallikrein-6,5
3452_17_2,LCK,LCK,Tyrosine-protein kinase Lck,17
3469_74_1,RPS6KA3,RPS6KA3,Ribosomal protein S6 kinase alpha-3,5
3472_40_2,BIRC5,Survivin,Baculoviral IAP repeat-containing protein 5,6
3473_78_2,MPL,Thrombopoietin Receptor,Thrombopoietin Receptor,0
3487_32_2,CXCL13,BLC,C-X-C motif chemokine 13,4
3505_6_2,LTA LTB,Lymphotoxin a1/b2,Lymphotoxin alpha1:beta2,26
3506_49_1,LTA LTB,Lymphotoxin a2/b1,Lymphotoxin alpha2:beta1,30
3508_78_3,CCL22,MDC,C-C motif chemokine 22,6
3518_54_2,CPB2,TAFI,Carboxypeptidase B2,1
3521_16_2,CGA TSHB,TSH,Thyroid Stimulating Hormone,0
3587_53_2,BMP10,BMP10,Bone morphogenetic protein 10,6
3603_60_4,CLEC7A,CLC7A,C-type lectin domain family 7 member A,3
3612_6_4,EPHB4,EphB4,Ephrin type-B receptor 4,5
3613_62_1,FCN1,FCN1,Ficolin-1,1
3616_3_5,GNS,GNS,N-acetylglucosamine-6-sulfatase,2
3622_33_4,LGMN,LGMN,Legumain,0
3636_37_4,OLR1,OLR1,Oxidized low-density lipoprotein receptor 1,2
3642_4_1,CD84,SLAF5,SLAM family member 5,1
3646_7_4,TEC,TEC,Tyrosine-protein kinase Tec,4
3651_50_5,KDR,VEGF sR2,Vascular endothelial growth factor receptor 2,9
3709_4_2,GPT,ALT,Alanine aminotransferase 1,0
3728_52_2,SCT,Secretin,Secretin,0
3730_81_2,TNFRSF4,TNR4,Tumor necrosis factor receptor superfamily member 4,3
3736_60_3,BMP6,BMP-6,Bone morphogenetic protein 6,9
3738_54_1,CSF1,CSF-1,Macrophage colony-stimulating factor 1,11
3743_1_3,MMP10,MMP-10,Stromelysin-2,18
3758_63_3,PROC,Activated Protein C,Activated Protein C,7
3761_4_2,PTGS2,COX-2,Prostaglandin G/H synthase 2,22
3795_6_2,ADAM9,ADAM 9,Disintegrin and metalloproteinase domain-containing protein 9,4
3796_79_2,ANGPTL4,ANGL4,Angiopoietin-related protein 4,0
3800_71_2,CKB,CK-BB,Creatine kinase B-type,0
3803_10_2,CST5,CYTD,Cystatin-D,0
3805_16_2,ESM1,Endocan,Endothelial cell-specific molecule 1,0
3808_76_2,FGFR2,FGFR-2,Fibroblast growth factor receptor 2,17
3809_1_2,FGFR3,FGFR-3,Fibroblast growth factor receptor 3,16
3814_63_1,IL11RA,IL-11 RA,Interleukin-11 receptor subunit alpha,6
3815_14_1,IL12RB2,IL-12 RB2,Interleukin-12 receptor subunit beta-2,11
3817_18_1,PRKCQ,KPCT,Protein kinase C theta type,23
3839_60_2,AIP,AIP,AH receptor-interacting protein,0
3852_19_2,DNAJB1,HSP 40,DnaJ homolog subfamily B member 1,0
3864_5_2,RPS7,RS7,40S ribosomal protein S7,1
3868_8_1,SGTA,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,1
3873_51_2,TPO,TMA,Thyroid peroxidase,0
3877_67_2,CAMKK1,CaMKK alpha,Calcium/calmodulin-dependent protein kinase kinase 1,1
3881_49_2,DYNLL1,DLC8,"Dynein light chain 1, cytoplasmic",1
3891_56_1,MBD4,MBD4,Methyl-CpG-binding domain protein 4,0
3903_49_2,SNX4,Sorting nexin 4,Sorting nexin-4,0
4123_60_2,FGF4,FGF-4,Fibroblast growth factor 4,12
4124_24_2,HSPA1A,HSP 70,Heat shock 70 kDa protein 1A,8
4132_27_2,FST,FST,Follistatin,1
4138_25_2,IL20,IL-20,Interleukin-20,1
4143_74_2,XCL1,Lymphotactin,Lymphotactin,3
4153_11_2,SERPINA3,alpha-1-antichymotrypsin complex,Alpha-1-antichymotrypsin complex,3
4163_5_2,H2AFZ,Histone H2A.z,Histone H2A.z,0
4165_2_1,TG,Thyroglobulin,Thyroglobulin,1
4194_26_3,ANP32B,AN32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,0
4230_1_2,EIF4G2,IF4G2,Eukaryotic translation initiation factor 4 gamma 2,0
4245_80_2,MDM2,MDM2,E3 ubiquitin-protein ligase Mdm2,9
4246_40_2,L1CAM,NCAM-L1,Neural cell adhesion molecule L1,2
4249_64_2,NME2,NDP kinase B,Nucleoside diphosphate kinase B,1
4250_23_3,NSFL1C,NSF1C,NSFL1 cofactor p47,0
4258_15_2,PA2G4,PA2G4,Proliferation-associated protein 2G4,3
4272_46_2,GPI,PHI,Glucose-6-phosphate isomerase,2
4282_3_2,RAN,RAN,GTP-binding nuclear protein Ran,1
4284_18_3,RBM39,RBM39,RNA-binding protein 39,0
4304_18_2,LCORL,"transcription factor MLR1, isoform CRA_b",Ligand-dependent nuclear receptor corepressor-like protein,0
4328_2_2,BOC,BOC,Brother of CDO,0
4330_4_2,KLK3,PSA,Prostate-specific antigen,7
4332_6_2,CLEC1B,CLC1B,C-type lectin domain family 1 member B,0
4336_2_1,SAA1,SAA,Serum amyloid A-1 protein,3
4374_45_2,GDF15,MIC-1,Growth/differentiation factor 15,2
4383_97_1,INHBA INHBB,Activin AB,Inhibin beta A chain:Inhibin beta B chain heterodimer,3
4392_54_2,FGF12,FGF-12,Fibroblast growth factor 12,7
4394_71_2,FGF8,FGF-8A,Fibroblast growth factor 8 isoform A,13
4397_26_2,IFNL2,IFN-lambda 2,Interferon lambda-2,1
4413_3_2,SLPI,SLPI,Antileukoproteinase,2
4420_7_2,ADAM12,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,3
4428_1_2,CHST2,CHST2,Carbohydrate sulfotransferase 2,0
4429_51_2,CHST6,CHST6,Carbohydrate sulfotransferase 6,0
4435_66_2,ENPP7,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,0
4437_56_3,ENTPD5,ENTP5,Ectonucleoside triphosphate diphosphohydrolase 5,0
4440_15_2,FCRL3,FCRL3,Fc receptor-like protein 3,0
4449_67_3,GREM1,GREM1,Gremlin-1,1
4453_83_3,LRRTM3,LRRT3,Leucine-rich repeat transmembrane neuronal protein 3,0
4455_89_2,MFGE8,MFGM,Lactadherin,3
4459_68_2,PCSK7,PCSK7,Proprotein convertase subtilisin/kexin type 7,0
4460_8_2,PDPK1,PDPK1,3-phosphoinositide-dependent protein kinase 1,7
4472_5_2,TPM2,Tropomyosin 2,Tropomyosin beta chain,0
4474_19_2,RPS27A,Ubiquitin,Ubiquitin,5
4479_14_2,SERPING1,C1-Esterase Inhibitor,Plasma protease C1 inhibitor,2
4490_65_2,IL3RA,IL-3 Ra,Interleukin-3 receptor subunit alpha,8
4491_4_2,IL5RA,IL-5 Ra,Interleukin-5 receptor subunit alpha,5
4535_50_2,BST1,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,1
4545_53_3,DNAJC19,DnaJ homolog,Mitochondrial import inner membrane translocase subunit TIM14,0
4549_78_2,FUT5,FUT5,"Alpha-(1,3)-fucosyltransferase 5",0
4550_3_2,FYN,FYN,Tyrosine-protein kinase Fyn,17
4559_64_2,KYNU,KYNU,Kynureninase,0
4561_65_2,BIRC7,Livin B,Baculoviral IAP repeat-containing protein 7 Isoform beta,1
4566_24_3,RSPO2,RSPO2,R-spondin-2,0
4567_82_2,SH2D1A,SH21A,SH2 domain-containing protein 1A,2
4568_17_2,SLITRK5,SLIK5,SLIT and NTRK-like protein 5,0
4569_52_2,SORCS2,SORC2,VPS10 domain-containing receptor SorCS2,0
4673_13_2,IL6,IL-6,Interleukin-6,56
4697_59_2,CSF2,GM-CSF,Granulocyte-macrophage colony-stimulating factor,41
4718_5_2,PPIB,PPIB,Peptidyl-prolyl cis-trans isomerase B,0
4721_54_2,TFF3,TFF3,Trefoil factor 3,0
4771_10_3,SMPDL3A,ASM3A,Acid sphingomyelinase-like phosphodiesterase 3a,2
4775_34_3,GSN,Gelsolin,Gelsolin,3
4785_30_3,SERPINA6,CBG,Corticosteroid-binding globulin,1
4801_13_3,LPO,PERL,Lactoperoxidase,0
4842_62_2,GPC3,Glypican 3,Glypican-3,2
4866_59_2,NTRK2,TrkB,BDNF/NT-3 growth factors receptor,9
4867_15_2,VEGFA,VEGF121,"Vascular endothelial growth factor A, isoform 121",24
4874_3_1,ANG,Angiogenin,Angiogenin,0
4906_35_1,F5,Coagulation Factor V,Coagulation Factor V,6
4911_49_2,GSTP1,Glutathione S-transferase Pi,Glutathione S-transferase P,2
4913_78_1,CCL16,HCC-4,C-C motif chemokine 16,3
4914_10_1,CGA CGB,HCG,Human Chorionic Gonadotropin,0
4918_21_1,KNG1,"Kininogen, HMW",Kininogen-1,7
4931_59_1,F3,TF,Tissue Factor,5
4961_17_1,ANXA2,annexin II,Annexin A2,2
4962_52_1,CDNF,ARMEL,Cerebral dopamine neurotrophic factor,1
4976_57_1,CRK,CRK,Adapter molecule crk,3
4983_6_1,ERP29,ERP29,Endoplasmic reticulum resident protein 29,0
4984_83_1,ESD,Esterase D,S-formylglutathione hydrolase,0
4990_87_1,GP1BA,GP1BA,Platelet glycoprotein Ib alpha chain,2
4991_12_1,GPC5,GPC5,Glypican-5,0
4997_19_1,EIF4A3,IF4A3,Eukaryotic initiation factor 4A-III,0
5000_52_1,LGALS3BP,LG3BP,Galectin-3-binding protein,0
5006_71_1,MAPK13,MK13,Mitogen-activated protein kinase 13,37
5012_67_1,AK1,"Myokinase, human",Adenylate kinase isoenzyme 1,0
5016_61_2,PARK7,PARK7,Protein deglycase DJ-1,1
5017_19_1,PRDX5,Peroxiredoxin-5,"Peroxiredoxin-5, mitochondrial",0
5023_23_1,ADSL,PUR8,Adenylosuccinate lyase,1
5026_66_1,RPS3,RS3,40S ribosomal protein S3,1
5065_8_2,CD83,CD83,CD83 antigen,1
5068_54_3,CRTAM,CRTAM,Cytotoxic and regulatory T-cell molecule,1
5084_154_3,IL17RB,IL-17B R,Interleukin-17 receptor B,11
5093_47_3,JAG2,JAG2,Protein jagged-2,3
5098_79_3,KLRF1,KLRF1,Killer cell lectin-like receptor subfamily F member 1,1
5111_15_3,NRXN3,NRX3B,Neurexin-3-beta,2
5114_65_3,PRLR,Prolactin Receptor,Prolactin receptor,1
5116_62_2,ROBO2,ROBO2,Roundabout homolog 2,2
5125_6_3,SIGLEC14,SIG14,Sialic acid-binding Ig-like lectin 14,1
5131_15_3,TNFRSF19,TAJ,Tumor necrosis factor receptor superfamily member 19,0
5134_52_2,HAVCR2,TIMD3,Hepatitis A virus cellular receptor 2,2
5201_50_4,PDE9A,PDE9A,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",2
5202_4_3,PPID,PPID,Peptidyl-prolyl cis-trans isomerase D,1
5228_25_2,KIF23,KIF23,Kinesin-like protein KIF23,0
5242_37_3,MAP2K4,MP2K4,Dual specificity mitogen-activated protein kinase kinase 4,38
5256_86_3,PDE5A,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",2
5262_57_3,BCAR3,BCAR3,Breast cancer anti-estrogen resistance protein 3,0
5337_64_3,CD86,B7-2,T-lymphocyte activation antigen CD86,8
5354_11_3,KRT18,Keratin 18,"Keratin, type I cytoskeletal 18",1
5355_69_3,TNFSF14,LIGHT,Tumor necrosis factor ligand superfamily member 14,26
5358_3_3,OMD,OMD,Osteomodulin,0
5392_73_2,FAS,"Fas, soluble",Tumor necrosis factor receptor superfamily member 6,7
5410_53_3,CDH15,CAD15,Cadherin-15,1
5437_63_3,FABP3,FABP,"Fatty acid-binding protein, heart",0
5443_62_2,NPPA,ANP,Atrial natriuretic factor,4
5457_5_2,COLEC12,COLEC12,Collectin-12,2
5462_62_3,FCN3,Ficolin-3,Ficolin-3,0
5482_61_3,RBP4,RBP,Retinol-binding protein 4,9
5484_63_3,RPS3A,RS3A,40S ribosomal protein S3a,1
5490_53_3,SPOCK1,Testican-1,Testican-1,0
5491_12_3,SPOCK2,Testican-2,Testican-2,0
5493_17_3,WNK3,WNK3,Serine/threonine-protein kinase WNK3,0
5508_62_3,CTSD,Cathepsin D,Cathepsin D,4
5526_53_3,TNFRSF18,GITR,Tumor necrosis factor receptor superfamily member 18,1
5532_53_3,FGFR1,bFGF-R,Fibroblast growth factor receptor 1,18
5581_28_3,FGL1,FGL1,Fibrinogen-like protein 1,0
5584_21_3,TCN2,Holo-TC II,Holo-Transcobalamin-2,0
5587_3_3,CCDC134,CC134,Coiled-coil domain-containing protein 134,0
5590_11_3,ZPLD1,ZPLD1,Zona pellucida-like domain-containing protein 1,0
5596_75_3,CD5,CD5,T-cell surface glycoprotein CD5,0
5606_24_3,MFAP1,MFAP1,Microfibrillar-associated protein 1,0
5609_92_3,FAM19A5,F19A5,Protein FAM19A5,0
5610_32_3,FAM171A1,CJ038,Protein FAM171A1,0
5611_56_3,DEFB108B,D108B,Beta-defensin 108B,2
5624_66_3,FOLR3,FOLR3,Folate receptor gamma,1
5630_48_3,CD300A,CM35H,CMRF35-like molecule 8,2
5631_83_3,MLN,MOTI,Promotilin,0
5633_65_3,LILRB2,ILT-4,Leukocyte immunoglobulin-like receptor subfamily B member 2,2
5634_39_3,POFUT1,OFUT1,GDP-fucose protein O-fucosyltransferase 1,0
5636_10_3,MFAP4,MFAP4,Microfibril-associated glycoprotein 4,0
5638_23_3,COLGALT1,GT251,Procollagen galactosyltransferase 1,0
5646_20_3,RNASE6,RNAS6,Ribonuclease K6,0
5666_64_3,IL1R2,IL-1 sRII,Interleukin-1 receptor type 2,21
5668_49_3,AGR3,AGR3,Anterior gradient protein 3 homolog,0
5669_26_3,SIRPB2,SIRB2,Signal-regulatory protein beta-2,0
5675_6_3,PRELP,PRELP,Prolargin,0
5691_2_3,CRISPLD2,CRLD2,Cysteine-rich secretory protein LCCL domain-containing 2,1
5704_74_3,GZMM,Granzyme M,Granzyme M,1
5708_1_3,LEAP2,LEAP2,Liver-expressed antimicrobial peptide 2,0
5716_49_3,CSAG1,CSAG1,Putative chondrosarcoma-associated gene 1 protein,0
5722_78_3,PRCP,Prolylcarboxypeptidase,Lysosomal Pro-X carboxypeptidase,2
5727_35_3,B3GALTL,B3GLT,"Beta-1,3-glucosyltransferase",0
5728_60_3,FCRL1,FCRL1,Fc receptor-like protein 1,0
5736_1_3,TREML2,TRML2,Trem-like transcript 2 protein,1
5738_25_3,SFTPC,SP-C,Pulmonary surfactant-associated protein C,1
5745_64_3,PI15,PI15,Peptidase inhibitor 15,0
5746_37_3,EFNB1,EFNB1,Ephrin-B1,3
5749_53_3,CLPS,COL,Colipase,0
5801_72_3,NGF,b-NGF,beta-nerve growth factor,4
5813_58_3,EPO,Epo,Erythropoietin,3
5825_49_3,IFNGR1,IFN-g R1,Interferon gamma receptor 1,19
5834_18_3,IL9,IL-9,Interleukin-9,8
5837_49_3,LIFR,LIF sR,Leukemia inhibitory factor receptor,4
5843_60_3,EHMT2,NG36,Histone-lysine N-methyltransferase EHMT2,0
5882_34_2,EEF1B2,EF-1-beta,Elongation factor 1-beta,0
5885_55_3,EIF4H,eIF-4H,Eukaryotic translation initiation factor 4H,0
5934_1_3,FTH1 FTL,Ferritin,Ferritin,4
5939_42_3,TNFSF12,TWEAK,Tumor necrosis factor ligand superfamily member 12,25
5970_61_3,LECT2,LECT2,Leukocyte cell-derived chemotaxin-2,0
5982_50_3,CFHR1,FHR1,Complement factor H-related protein 1,0
6019_12_3,C1QTNF9,C1T9A,Complement C1q and tumor necrosis factor-related protein 9A,1
6020_52_3,UTS2,Urotensin-II,Urotensin-2,0
6039_24_3,CRHBP,CRHBP,Corticotropin-releasing factor-binding protein,0
6055_53_3,IFNAR1,IFN-a/b R1,Interferon alpha/beta receptor 1,16
6075_61_3,HEXB,Hexosaminidase B,Beta-hexosaminidase subunit beta,2
6119_14_3,MAMDC2,MAMC2,MAM domain-containing protein 2,0
6172_7_4,UBC,PolyUbiquitin K63,PolyUbiquitin K63-linked,4
6207_10_3,PSAP,prosaposin,Prosaposin,2
6225_3_3,PRSS8,Prostasin,Prostasin,0
6230_56_3,CER1,CER1,Cerberus,0
6231_46_3,STC2,STC2,Stanniocalcin-2,2
6234_74_3,VIT,VITRN,Vitrin,0
6237_11_3,FGFRL1,FGRL1,Fibroblast growth factor receptor-like 1,8
6248_68_3,FAS,"Fas, soluble",Tumor necrosis factor receptor superfamily member 6,7
6252_62_3,SCGB3A1,Secretoglobin family 3A member 1,Secretoglobin family 3A member 1,0
6256_9_3,LY6G6C,LY66C,Lymphocyte antigen 6 complex locus protein G6c,0
6260_14_3,FAM163A,F163A,Protein FAM163A,0
6267_51_3,STMN4,STMN4,Stathmin-4,0
6280_11_3,PCDH8,PCDH8,Protocadherin-8,0
6284_7_3,FAM150B,F150B,Protein FAM150B,0
6285_71_3,MLEC,K0152,Malectin,1
